BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
concat_xsections.dat
--------------------------------------------------
CO
concat_xsections.dat
--------------------------------------------------
H2O
concat_xsections.dat
--------------------------------------------------
N2
concat_xsections.dat
--------------------------------------------------
O2
concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        2000.00
Excitation temperature (K)                 2000.00
Transition energy (eV)                     0.00000
Ionization degree                          0.00000
Gas particle density (1/m3)               0.370000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           200.000
Precision                                 0.100000E-11
Convergence                               0.100000E-05
Maximum # of iterations                    10000.0
Mole fraction CO2                         0.780142E-01
Mole fraction CO                          0.101317E-02
Mole fraction H2O                         0.155015
Mole fraction N2                          0.727457
Mole fraction O2                          0.385005E-01


E/N (Td)      	Electric field / N (Td)
E/N (Td)	Total collision freq. /N (m3/s)
0.100000	0.288357E-12
0.109750	0.288357E-12
0.120450	0.288356E-12
0.132194	0.288355E-12
0.145083	0.288354E-12
0.159228	0.288353E-12
0.174753	0.288351E-12
0.191791	0.288349E-12
0.210490	0.288347E-12
0.231013	0.288344E-12
0.253536	0.288341E-12
0.278256	0.288337E-12
0.305386	0.288332E-12
0.335160	0.288326E-12
0.367838	0.288319E-12
0.403702	0.288311E-12
0.443062	0.288300E-12
0.486260	0.288288E-12
0.533670	0.288273E-12
0.585702	0.288256E-12
0.642807	0.288234E-12
0.705480	0.288209E-12
0.774264	0.288178E-12
0.849753	0.288140E-12
0.932603	0.288095E-12
1.02353	0.288041E-12
1.12332	0.287976E-12
1.23285	0.287898E-12
1.35305	0.287804E-12
1.48497	0.287691E-12
1.62975	0.287555E-12
1.78865	0.287392E-12
1.96304	0.287196E-12
2.15443	0.286960E-12
2.36449	0.286677E-12
2.59502	0.286339E-12
2.84804	0.285933E-12
3.12572	0.285446E-12
3.43047	0.284863E-12
3.76494	0.284166E-12
4.13201	0.283333E-12
4.53488	0.282339E-12
4.97702	0.281156E-12
5.46228	0.279748E-12
5.99484	0.278077E-12
6.57933	0.276101E-12
7.22081	0.273779E-12
7.92483	0.271061E-12
8.69749	0.267917E-12
9.54548	0.264308E-12
10.4762	0.260224E-12
11.4976	0.255680E-12
12.6186	0.250731E-12
13.8489	0.245453E-12
15.1991	0.239979E-12
16.6810	0.234464E-12
18.3074	0.229082E-12
20.0923	0.223991E-12
22.0513	0.219332E-12
24.2013	0.215204E-12
26.5609	0.211684E-12
29.1505	0.208797E-12
31.9927	0.206542E-12
35.1119	0.204890E-12
38.5353	0.203784E-12
42.2924	0.203148E-12
46.4159	0.202895E-12
50.9414	0.202940E-12
55.9081	0.203210E-12
61.3591	0.203648E-12
67.3415	0.204215E-12
73.9072	0.204888E-12
81.1131	0.205653E-12
89.0215	0.206510E-12
97.7010	0.207460E-12
107.227	0.208513E-12
117.681	0.209675E-12
129.155	0.210960E-12
141.747	0.212384E-12
155.568	0.213962E-12
170.735	0.215710E-12
187.382	0.217644E-12
205.651	0.219781E-12
225.702	0.222135E-12
247.708	0.224719E-12
271.859	0.227543E-12
298.365	0.230613E-12
327.455	0.233931E-12
359.381	0.237496E-12
394.421	0.241302E-12
432.876	0.245341E-12
475.081	0.249602E-12
521.401	0.254066E-12
572.237	0.258721E-12
